StartDate,EndDate,Duration,RecordedDate,ResponseId,UserLanguage,Approached,Consent,rawnumund18,rawnum1824,rawnumov24,highesteducation_specify,rawLACity,rawLACity_specify,reason_hmls_specify,rawsurveystatus,age_cat,elig_age,numund18Count,num1824Count,numov24Count,placelast30days,placelastnight,dwellinglast30days,dwellinglastnight,elig_placelast30days,elig_placelastnight,hmls_first_time,hmls_first_age,hmlspast1yr,hmlspast3yrs,hmls1yrpast3yrs,hmlsMoreThan1YrIn3Yr,hmlsmorethan1Yr,time_hmls,time_hmls_days,hmls_gtyr,hmls_leyr,reason_marsplit,reason_childsup,reason_hhconflict,reason_deathill,reason_domviol,reason_eviction,reason_sexorient,reason_foster,reason_medical,reason_mental,reason_nofam,reason_immig,reason_hospital,reason_jail,reason_subsabuse,reason_safety,reason_prevhouseprog,reason_unemployed,reason_livingcond,reason_other,reason_hmls_ct,car,van,rv_camper,tent,MSShelter,car_count,van_count,rv_camper_count,tent_count,MSShelter_count,any_CVRTM,place_befhmls,LAC_yrs,LAC_days,LAC_res,foster_care,mandated_stay,prison,jail,adult_probation,parole,juv_detention,Juv_probation,childsys_ilp,childsys_fcare_nonfam,childsys_fcare_fam,childsys_fcare_AB12,childsys_ct,sysinvolve_ct,justice_system,emp_status,humtraf,humtraf_other,humtraf_agri,humtraf_panhandle,humtraf_dtdsales,humtraf_restaurant,humtraf_hholdwk,humtraf_illegal,humtraf_sex,humtraf_ct,govasst_calworks,govasst_capi,govasst_ssret,govasst_ssidi,govasst_childsup,govasst_food,govasst_grga,govasst_mcaid,govasst_unemp,govasst_mcare,govasst_vetpen,govasst_vetmed,govasst_vetdis,govasst_wic,govasst_chip,govasst_mhla,govasst_fcareAB12,govasst_studentfinaid,govasst_ct,dv_neglect,dv_physical,dv_physical_rel,dv_physical_sp,dv_sexual,dv_sexual_rel,dv_sexual_sp,dv_dating,dv_stalking,domviol,dv_ct,flee_dv_hmls,highesteducation,receivedGift,survey_dropin,observed_subsabuse,observed_mental,observed_physical,observed_ct,elig_status,elig_samp,n_kid,n_und18,n_1824,n_25p,n_chron,n_fam,chronicHH,vetHH,age_und18,age_1824,hhold_type,YHH_type,mental,subsabuse,hiv,longdurcond,SamplingWeight,wtmiss,dup,first_record,CoC,male,female,gender,transgender,nonconforming,sexorient,white,black,asian,ai_an,nh_pi,multirace,NH_white,NH_black,NH_asian,NH_ai_an,NH_nh_pi,NH_multirace,race,NH_race,Hispanic,nonHispanic,ment_illness,depression,PTSD,drugabuse,alcohol,physical,otherchronhealth,braininjury,develop,phys_disab,phys_illness,otherhealth,rawveteran,veteran,vetdischarge,natguard,hispanic_specify,AmerIndAK_specify,Asian_specify,PacIsl_specify,Other_specify,otherhealth_specify,relation,indiv_seq,youth_wtadj,SPA,SD,CD,SSD,AD,USCD,city_name,Community,wt_spa,strata,observed_age,observed_gender,observed_eth,observed_race,schoolenroll
30JAN19:10:51:00,30JAN19:11:06:00,912,30JAN19:16:42:00,R_nRN9miZemClNCjf,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,Burbank,,,Complete,2,1,0,1,0,18,18,18,18,1,1,0,20,R,R,M,0,0,0.583333333,213,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,22,8036,7,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,2,0,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,,,,,,,,,,,,,M,,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,,0,,,,,,,0,1,9.92,2,5,7,25,39,28,Los Angeles,Sunland-Tujunga,2,1007PS HS,1,1,1,6,1
30JAN19:11:09:00,30JAN19:11:19:00,558,30JAN19:11:56:00,R_4mAZeB5kWZCNAqT,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,1,0,,Pacoima,,,Complete,2,1,0,2,0,15,14,15,14,1,1,0,16,2,2,M,0,0,0.057692308,21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,22,8036,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,M,M,M,M,M,M,M,M,M,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,M,1,0,0,1,1,1,0,1,0,0,1,,,,,,,,,,,,,X,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,HL,,0,1,1,2,3,7,18,39,29,Los Angeles,Pacoima,2,1007PS HS,1,1,1,6,0
30JAN19:10:59:00,30JAN19:11:09:00,614,30JAN19:11:56:00,R_audB8uoX7OhXG1j,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,Pacoima,,,Complete,2,1,0,1,0,13,13,13,13,1,1,1,,1,1,M,0,0,0.416666667,152,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2,0,1,1,22,8036,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,,,,,,,,,,,,,X,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,HL,,0,1,1,2,3,7,18,39,29,Los Angeles,Pacoima,2,1007PS HS,1,1,1,6,0
23JAN19:15:37:00,23JAN19:15:42:00,305,25JAN19:09:10:00,R_bdjjlPvJ4BrwM3w,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,Declined/Don't know,,,Complete,2,1,0,1,0,16,16,16,16,1,1,1,,1,1,M,0,1,1,365,0,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1,0,0,0,0,1,0,0,0,0,1,1,22,8036,7,,0,0,0,0,0,0,0,R,R,R,R,R,0,0,2,0,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,M,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,M,0,0,,0,,,,,,,0,1,1.6,2,3,7,18,39,29,Los Angeles,Pacoima,2,1007PS HS,1,1,0,2,0
23JAN19:15:45:00,23JAN19:15:53:00,509,25JAN19:09:11:00,R_eIft5sXgCNYGnE9,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,North Hollywood,,,Complete,2,1,0,1,0,8,8,8,8,1,1,1,,1,1,M,0,0,0.5,183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18,6575,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,9,0,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,M,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,1,1.98,2,3,7,18,39,29,Los Angeles,Pacoima,2,1007PS HS,1,1,0,3,1
23JAN19:15:20:00,23JAN19:15:29:00,516,25JAN19:09:10:00,R_griP8qNWnGRjT5Z,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,,,,Complete,2,1,0,1,0,16,16,16,16,1,1,0,18,2,2,M,0,0,0.416666667,152,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,4,1,365,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,M,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,1,7.3,2,3,7,18,39,29,Los Angeles,Pacoima,2,1007PS HS,1,1,0,2,0
23JAN19:15:22:00,23JAN19:15:34:00,696,25JAN19:09:11:00,R_iOKwAGaDdeqdKL9,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,North Hollywood,,,Complete,2,1,0,1,0,16,16,16,16,1,1,1,,1,1,M,0,0,0.095890411,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,3653,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,,,,,,,,,,,,,X,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,,,,HL,,0,1,1.48,2,3,7,18,39,29,Los Angeles,Pacoima,2,1007PS HS,1,1,1,6,0
23JAN19:15:31:00,23JAN19:15:37:00,325,25JAN19:09:10:00,R_lLyqzqw8WcdgAo5,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,Declined/Don't know,,,Complete,2,1,0,1,0,16,16,16,16,1,1,1,,1,1,M,0,0,0.096153846,35,0,1,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,1,0,0,0,0,1,0,0,0,0,1,1,19,6940,6,R,R,R,R,R,R,R,R,R,R,R,R,R,0,R,2,0,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,M,M,M,M,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,M,M,M,M,M,M,M,M,M,M,M,R,0,0,,0,,,,,,,0,1,1.2,2,3,7,18,39,29,Los Angeles,Pacoima,2,1007PS HS,1,1,0,2,0
23JAN19:15:34:00,23JAN19:15:44:00,619,25JAN19:09:11:00,R_lZ2VUVTU0rDCbHb,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,,,,Complete,2,1,0,1,0,16,16,16,16,1,1,1,,1,1,M,0,0,0.5,183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,4,0.5,183,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,M,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,,,,,,,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,1,1.4,2,3,7,18,39,29,Los Angeles,Pacoima,2,1007PS HS,1,1,1,6,0
23JAN19:15:42:00,23JAN19:15:50:00,434,25JAN19:09:10:00,R_ngfV1v0ajfx48xk,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,Burbank,,,Complete,2,1,0,1,0,16,8,16,8,1,1,0,18,M,3,1,1,1,2,731,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,21,7670,7,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,10,1,0,0,0,0,1,0,0,0,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1,0,0,0,0,0,0,0,0,X,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,1,1.6,2,3,7,18,39,29,Los Angeles,Pacoima,2,1007PS HS,1,1,0,1,0
